                   Degree              Press.Ratio   Mass_leak_rad_ro[kg/s]      Mass_leak_vef[kg/s]       Mass_leak_vs[kg/s]      Mass_leak_ref[kg/s]    Mass_leak_total[kg/s]
                   0.0000             1.022243E+00             1.311957E-05             8.460469E-06             0.000000E+00             0.000000E+00             2.158004E-05
                   0.1800             1.083595E+00             1.138077E-06             1.059333E-05             0.000000E+00             1.233474E-08             1.174374E-05
                   0.3600             1.081931E+00             6.140831E-07             1.052603E-05             0.000000E+00             2.362884E-08             1.116374E-05
                   0.5400             1.080248E+00             4.860315E-07             1.046254E-05             0.000000E+00             3.392459E-08             1.098250E-05
                   0.7200             1.078592E+00             2.191604E-07             1.039752E-05             0.000000E+00             4.328154E-08             1.065996E-05
                   0.9000             1.076989E+00             6.427268E-08             1.033422E-05             0.000000E+00             5.176654E-08             1.045026E-05
                   1.0800             1.075454E+00             2.033522E-09             1.027576E-05             0.000000E+00             5.945206E-08             1.033725E-05
                   1.2600             1.073997E+00             6.402241E-08             1.021934E-05             0.000000E+00             6.641214E-08             1.034977E-05
                   1.4400             1.072620E+00             6.328305E-08             1.016503E-05             0.000000E+00             7.272025E-08             1.030103E-05
                   1.6200             1.071327E+00             6.304348E-08             1.011575E-05             0.000000E+00             7.845056E-08             1.025725E-05
                   1.8000             1.070119E+00             6.281885E-08             1.006581E-05             0.000000E+00             8.367652E-08             1.021230E-05
                   1.9800             1.068995E+00             6.260922E-08             1.002379E-05             0.000000E+00             8.847097E-08             1.017487E-05
                   2.1600             1.067957E+00             6.241464E-08             9.981150E-06             0.000000E+00             9.290605E-08             1.013647E-05
                   2.3400             1.067002E+00             6.175492E-08             9.943590E-06             0.000000E+00             9.705322E-08             1.010240E-05
                   2.5200             1.066131E+00             6.158865E-08             9.911098E-06             0.000000E+00             1.009832E-07             1.007367E-05
                   2.7000             1.065343E+00             6.143755E-08             9.880851E-06             0.000000E+00             1.047663E-07             1.004706E-05
                   2.8800             1.064638E+00             6.130157E-08             9.852857E-06             0.000000E+00             1.084716E-07             1.002263E-05
                   3.0600             1.064014E+00             6.118064E-08             9.829929E-06             0.000000E+00             1.121681E-07             1.000328E-05
                   3.2400             1.063472E+00             6.107475E-08             9.809254E-06             0.000000E+00             1.159236E-07             9.986252E-06
                   3.4200             1.063010E+00             6.098382E-08             9.790835E-06             0.000000E+00             1.198055E-07             9.971624E-06
                   3.6000             1.062627E+00             6.090780E-08             9.777468E-06             0.000000E+00             1.238799E-07             9.962255E-06
                   3.7800             1.062324E+00             6.084659E-08             9.766348E-06             0.000000E+00             1.282124E-07             9.955407E-06
                   3.9600             1.062099E+00             6.032819E-08             9.760260E-06             0.000000E+00             1.328668E-07             9.953455E-06
                   4.1400             1.061951E+00             6.029603E-08             9.756397E-06             0.000000E+00             1.379053E-07             9.954598E-06
                   4.3200             1.061878E+00             6.027840E-08             9.757524E-06             0.000000E+00             1.433856E-07             9.961188E-06
                   4.5000             1.061878E+00             6.027471E-08             9.760771E-06             0.000000E+00             1.493501E-07             9.970396E-06
                   4.6800             1.061923E+00             6.027942E-08             9.765356E-06             0.000000E+00             1.556456E-07             9.981281E-06
                   4.8600             1.061970E+00             6.028461E-08             9.772961E-06             0.000000E+00             1.619896E-07             9.995235E-06
                   5.0400             1.062018E+00             6.028990E-08             9.777937E-06             0.000000E+00             1.683671E-07             1.000659E-05
                   5.2200             1.062067E+00             6.029524E-08             9.783074E-06             0.000000E+00             1.747745E-07             1.001814E-05
                   5.4000             1.062115E+00             6.077217E-08             9.788365E-06             0.000000E+00             1.812078E-07             1.003035E-05
                   5.5800             1.062163E+00             6.077730E-08             9.796605E-06             0.000000E+00             1.876624E-07             1.004504E-05
                   5.7600             1.062210E+00             6.078229E-08             9.802181E-06             0.000000E+00             1.941329E-07             1.005710E-05
                   5.9400             1.062255E+00             6.078713E-08             9.807887E-06             0.000000E+00             2.006136E-07             1.006929E-05
                   6.1200             1.062298E+00             6.079171E-08             9.813716E-06             0.000000E+00             2.070980E-07             1.008161E-05
                   6.3000             1.062338E+00             6.079602E-08             9.822471E-06             0.000000E+00             2.135791E-07             1.009685E-05
                   6.4800             1.062375E+00             6.079998E-08             9.828524E-06             0.000000E+00             2.200492E-07             1.010937E-05
                   6.6600             1.062408E+00             6.080354E-08             9.834676E-06             0.000000E+00             2.264999E-07             1.012198E-05
                   6.8400             1.062437E+00             6.080665E-08             9.840921E-06             0.000000E+00             2.329225E-07             1.013465E-05
                   7.0200             1.062461E+00             6.080924E-08             9.847249E-06             0.000000E+00             2.393076E-07             1.014737E-05
                   7.2000             1.062480E+00             6.081128E-08             9.853654E-06             0.000000E+00             2.456451E-07             1.016011E-05
                   7.3800             1.062493E+00             6.081268E-08             9.860126E-06             0.000000E+00             2.519243E-07             1.017286E-05
                   7.5600             1.062500E+00             6.081343E-08             9.869483E-06             0.000000E+00             2.581344E-07             1.018843E-05
                   7.7400             1.062500E+00             6.081343E-08             9.876070E-06             0.000000E+00             2.642633E-07             1.020115E-05
                   7.9200             1.062493E+00             6.081265E-08             9.879875E-06             0.000000E+00             2.702987E-07             1.021099E-05
                   8.1000             1.062478E+00             6.081102E-08             9.886542E-06             0.000000E+00             2.762282E-07             1.022358E-05
                   8.2800             1.062454E+00             6.080851E-08             9.893238E-06             0.000000E+00             2.820383E-07             1.023608E-05
                   8.4600             1.062421E+00             6.080505E-08             9.899954E-06             0.000000E+00             2.877152E-07             1.024847E-05
                   8.6400             1.062380E+00             6.080059E-08             9.906685E-06             0.000000E+00             2.932448E-07             1.026073E-05
                   8.8200             1.062328E+00             6.079508E-08             9.913421E-06             0.000000E+00             2.986124E-07             1.027283E-05
                   9.0000             1.062266E+00             6.078846E-08             9.917316E-06             0.000000E+00             3.038028E-07             1.028191E-05
                   9.1800             1.062193E+00             6.078070E-08             9.924038E-06             0.000000E+00             3.088007E-07             1.029362E-05
                   9.3600             1.062109E+00             6.077174E-08             9.927901E-06             0.000000E+00             3.135901E-07             1.030226E-05
                   9.5400             1.062014E+00             6.028964E-08             9.934578E-06             0.000000E+00             3.181552E-07             1.031302E-05
                   9.7200             1.061906E+00             6.027786E-08             9.938378E-06             0.000000E+00             3.224793E-07             1.032114E-05
                   9.9000             1.061786E+00             6.026469E-08             9.942135E-06             0.000000E+00             3.265460E-07             1.032895E-05
                  10.0800             1.061654E+00             6.025012E-08             9.948690E-06             0.000000E+00             3.303384E-07             1.033928E-05
                  10.2600             1.061508E+00             6.023408E-08             9.952340E-06             0.000000E+00             3.338394E-07             1.034641E-05
                  10.4400             1.061348E+00             6.021655E-08             9.955926E-06             0.000000E+00             3.370320E-07             1.035318E-05
                  10.6200             1.061175E+00             6.019750E-08             9.959441E-06             0.000000E+00             3.398991E-07             1.035954E-05
                  10.8000             1.060988E+00             6.017688E-08             9.962879E-06             0.000000E+00             3.424235E-07             1.036548E-05
                  10.9800             1.060786E+00             6.015464E-08             9.966232E-06             0.000000E+00             3.445879E-07             1.037097E-05
                  11.1600             1.060570E+00             6.013079E-08             9.966637E-06             0.000000E+00             3.463755E-07             1.037314E-05
                  11.3400             1.060339E+00             6.010526E-08             9.969801E-06             0.000000E+00             3.477691E-07             1.037768E-05
                  11.5200             1.060093E+00             6.007805E-08             9.972863E-06             0.000000E+00             3.487524E-07             1.038169E-05
                  11.7000             1.059831E+00             6.004912E-08             9.972955E-06             0.000000E+00             3.493085E-07             1.038231E-05
                  11.8800             1.059555E+00             6.001848E-08             9.972933E-06             0.000000E+00             3.494216E-07             1.038237E-05
                  12.0600             1.059263E+00             5.998608E-08             9.975651E-06             0.000000E+00             3.490756E-07             1.038471E-05
                  12.2400             1.058955E+00             5.995191E-08             9.975383E-06             0.000000E+00             3.482553E-07             1.038359E-05
                  12.4200             1.058632E+00             5.991599E-08             9.974984E-06             0.000000E+00             3.469457E-07             1.038185E-05
                  12.6000             1.058294E+00             5.987828E-08             9.974451E-06             0.000000E+00             3.451326E-07             1.037946E-05
                  12.7800             1.057940E+00             5.983878E-08             9.973780E-06             0.000000E+00             3.428019E-07             1.037642E-05
                  12.9600             1.057570E+00             5.979750E-08             9.972968E-06             0.000000E+00             3.399407E-07             1.037271E-05
                  13.1400             1.057185E+00             5.928644E-08             9.969142E-06             0.000000E+00             3.365364E-07             1.036497E-05
                  13.3200             1.056785E+00             5.924050E-08             9.968036E-06             0.000000E+00             3.325770E-07             1.035985E-05
                  13.5000             1.056370E+00             5.919275E-08             9.963910E-06             0.000000E+00             3.280520E-07             1.035116E-05
                  13.6800             1.055940E+00             5.914320E-08             9.962501E-06             0.000000E+00             3.229507E-07             1.034459E-05
                  13.8600             1.055496E+00             5.909186E-08             9.958067E-06             0.000000E+00             3.172642E-07             1.033442E-05
                  14.0400             1.055037E+00             5.903875E-08             9.953477E-06             0.000000E+00             3.109841E-07             1.032350E-05
                  14.2200             1.054564E+00             5.898392E-08             9.948730E-06             0.000000E+00             3.041027E-07             1.031182E-05
                  14.4000             1.054078E+00             5.892736E-08             9.943825E-06             0.000000E+00             2.966136E-07             1.029937E-05
                  14.5800             1.053577E+00             5.886914E-08             9.938762E-06             0.000000E+00             2.885115E-07             1.028614E-05
                  14.7600             1.053064E+00             5.880925E-08             9.933542E-06             0.000000E+00             2.797916E-07             1.027214E-05
                  14.9400             1.052539E+00             5.828340E-08             9.928166E-06             0.000000E+00             2.704508E-07             1.025690E-05
                  15.1200             1.052001E+00             5.821883E-08             9.919762E-06             0.000000E+00             2.604867E-07             1.023847E-05
                  15.3000             1.051451E+00             5.815270E-08             9.914077E-06             0.000000E+00             2.498978E-07             1.022213E-05
                  15.4800             1.050890E+00             5.808505E-08             9.905368E-06             0.000000E+00             2.386843E-07             1.020214E-05
                  15.6600             1.050319E+00             5.801593E-08             9.899383E-06             0.000000E+00             2.268467E-07             1.018425E-05
                  15.8400             1.049737E+00             5.794539E-08             9.890380E-06             0.000000E+00             2.143872E-07             1.016271E-05
                  16.0200             1.049145E+00             5.787350E-08             9.881234E-06             0.000000E+00             2.013089E-07             1.014042E-05
                  16.2000             1.048545E+00             5.780030E-08             9.871950E-06             0.000000E+00             1.876158E-07             1.011737E-05
                  16.3800             1.047935E+00             5.726450E-08             9.862532E-06             0.000000E+00             1.733132E-07             1.009311E-05
                  16.5600             1.047318E+00             5.718714E-08             9.852985E-06             0.000000E+00             1.584072E-07             1.006858E-05
                  16.7400             1.046693E+00             5.710862E-08             9.843314E-06             0.000000E+00             1.429052E-07             1.004333E-05
                  16.9200             1.046062E+00             5.702904E-08             9.830652E-06             0.000000E+00             1.268154E-07             1.001450E-05
                  17.1000             1.045424E+00             5.694845E-08             9.820749E-06             0.000000E+00             1.101468E-07             9.987844E-06
                  17.2800             1.044781E+00             5.686692E-08             9.807868E-06             0.000000E+00             9.290978E-08             9.957645E-06
                  17.4600             1.044132E+00             5.632774E-08             9.797758E-06             0.000000E+00             7.511512E-08             9.929201E-06
                  17.6400             1.043479E+00             5.624268E-08             9.784685E-06             0.000000E+00             5.677493E-08             9.897703E-06
                  17.8200             1.042823E+00             5.615689E-08             9.774397E-06             0.000000E+00             3.790162E-08             9.868455E-06
                  18.0000             1.042163E+00             5.607044E-08             9.761159E-06             0.000000E+00             1.850884E-08             9.835739E-06
                  18.1800             1.041501E+00             5.598339E-08             9.747852E-06             0.000000E+00            -1.389511E-09             9.802446E-06
                  18.3600             1.040837E+00             5.589583E-08             9.737353E-06             0.000000E+00            -2.177852E-08             9.771470E-06
                  18.5400             1.040172E+00             5.535451E-08             9.723928E-06             0.000000E+00            -4.264280E-08             9.736640E-06
                  18.7200             1.039506E+00             5.526425E-08             9.710458E-06             0.000000E+00            -6.396636E-08             9.701756E-06
                  18.9000             1.038839E+00             5.517368E-08             9.696951E-06             0.000000E+00            -8.573264E-08             9.666392E-06
                  19.0800             1.038173E+00             5.508289E-08             9.683416E-06             0.000000E+00            -1.079249E-07             9.630574E-06
                  19.2600             1.037508E+00             5.499196E-08             9.669862E-06             0.000000E+00            -1.305258E-07             9.594328E-06
                  19.4400             1.036845E+00             5.490096E-08             9.656297E-06             0.000000E+00            -1.535176E-07             9.557680E-06
                  19.6200             1.036183E+00             5.435938E-08             9.642731E-06             0.000000E+00            -1.768824E-07             9.520208E-06
                  19.8000             1.035524E+00             5.426653E-08             9.629172E-06             0.000000E+00            -2.006021E-07             9.482837E-06
                  19.9800             1.034868E+00             5.417382E-08             9.615631E-06             0.000000E+00            -2.246583E-07             9.445147E-06
                  20.1600             1.034215E+00             5.408136E-08             9.602116E-06             0.000000E+00            -2.490324E-07             9.407165E-06
                  20.3400             1.033567E+00             5.398914E-08             9.588637E-06             0.000000E+00            -2.737059E-07             9.368920E-06
                  20.5200             1.032922E+00             5.389729E-08             9.575202E-06             0.000000E+00            -2.986604E-07             9.330439E-06
                  20.7000             1.032283E+00             5.335762E-08             9.561820E-06             0.000000E+00            -3.238771E-07             9.291301E-06
                  20.8800             1.031648E+00             5.326478E-08             9.548502E-06             0.000000E+00            -3.493377E-07             9.252429E-06
                  21.0600             1.031019E+00             5.317249E-08             9.532379E-06             0.000000E+00            -3.750237E-07             9.210528E-06
                  21.2400             1.030396E+00             5.308080E-08             9.519211E-06             0.000000E+00            -4.009170E-07             9.171375E-06
                  21.4200             1.029779E+00             5.298976E-08             9.506132E-06             0.000000E+00            -4.269995E-07             9.132122E-06
                  21.6000             1.029169E+00             5.245529E-08             9.493149E-06             0.000000E+00            -4.532535E-07             9.092351E-06
                  21.7800             1.028565E+00             5.236393E-08             9.480273E-06             0.000000E+00            -4.796614E-07             9.052975E-06
                  21.9600             1.027969E+00             5.227340E-08             9.467509E-06             0.000000E+00            -5.062061E-07             9.013576E-06
                  22.1400             1.027380E+00             5.218373E-08             9.454867E-06             0.000000E+00            -5.328707E-07             8.974180E-06
                  22.3200             1.026798E+00             5.209498E-08             9.442353E-06             0.000000E+00            -5.596387E-07             8.934809E-06
                  22.5000             1.026225E+00             5.200718E-08             9.429976E-06             0.000000E+00            -5.864940E-07             8.895489E-06
                  22.6800             1.025659E+00             5.147859E-08             9.417741E-06             0.000000E+00            -6.134209E-07             8.855799E-06
                  22.8600             1.025101E+00             5.139116E-08             9.405656E-06             0.000000E+00            -6.404040E-07             8.816643E-06
                  23.0400             1.024552E+00             5.130479E-08             9.393728E-06             0.000000E+00            -6.674286E-07             8.777604E-06
                  23.2200             1.024011E+00             5.121954E-08             9.384851E-06             0.000000E+00            -6.944804E-07             8.741590E-06
                  23.4000             1.023479E+00             5.113544E-08             9.373255E-06             0.000000E+00            -7.215455E-07             8.702845E-06
                  23.5800             1.022955E+00             5.105250E-08             9.361833E-06             0.000000E+00            -7.486103E-07             8.664275E-06
                  23.7600             1.022441E+00             5.053166E-08             9.350590E-06             0.000000E+00            -7.756622E-07             8.625460E-06
                  23.9400             1.021935E+00             5.044959E-08             9.342428E-06             0.000000E+00            -8.026888E-07             8.590188E-06
                  24.1200             1.021438E+00             5.036877E-08             9.331560E-06             0.000000E+00            -8.296780E-07             8.552251E-06
                  24.3000             1.020950E+00             5.028925E-08             9.323786E-06             0.000000E+00            -8.566188E-07             8.517457E-06
